name_en,name_ko,category
Apple,사과,과일
"Apples (no seeds)",사과 (씨 제거),과일
Asparagus,아스파라거스,채소
"Avoid excess: spinach; use pumpkin",시금치 소량 + 호박,채소
Banana,바나나,과일
Barley,보리,곡물
Beef,소고기,고기
Beef Heart,소 심장,고기
Beef Liver,소 간,고기
"Beef Liver (small amount)",소 간 (소량),고기
Beef heart,소 심장,고기
Beef liver,소 간,고기
Beef trachea,소 기관지,고기
Bell pepper,피망,채소
"Bell pepper in moderate amounts",피망 (적당량),채소
Blueberries,블루베리,과일
Blueberry,블루베리,과일
Boiled chicken,삶은 닭고기,고기
Bok choy,청경채,채소
Bone Broth,사골 육수,부재료
Bone broth,사골 육수,부재료
"Bone broth (sodium-containing)",사골 육수 (나트륨 함유),부재료
Bone meal,뼛가루,부재료
Brazil nuts,브라질넛,견과류/씨앗
Broccoli,브로콜리,채소
"Broccoli (small)",브로콜리 (소량),채소
Brown rice,현미,곡물
Brussels sprouts,방울양배추,채소
Cabbage,양배추,채소
Carrot,당근,채소
Cauliflower,콜리플라워,채소
Chicken,닭고기,고기
Chicken Breast,닭가슴살,고기
"Chicken Breast (boiled)",닭가슴살 (삶은),고기
"Chicken Breast (pureed)",닭가슴살 (퓌레),고기
"Chicken Breast (pureed/meatball)",닭가슴살 (퓌레/미트볼),고기
Chicken Feet,닭발,고기
Chicken Heart,닭 심장,고기
Chicken Liver,닭 간,고기
Chicken breast,닭가슴살,고기
"Chicken breast (small amounts)",닭가슴살 (소량),고기
Chicken cartilage,닭 연골,고기
Chicken fat,닭 지방,부재료
Chicken feet,닭발,고기
Chicken heart,닭 심장,고기
Chicken liver,닭 간,고기
Chicken sternum cartilage,닭 가슴뼈 연골,고기
Chickpeas,병아리콩,곡물
Coconut Oil,코코넛 오일,부재료
"Coconut Oil (MCT)",코코넛 오일 (MCT),부재료
"Coconut oil (MCT)",코코넛 오일 (MCT),부재료
Cod,대구,해산물
Cod liver oil,대구간유,부재료
Cooked Chicken,익힌 닭고기,고기
Cooked Egg,익힌 달걀,유제품
Cooked Salmon,익힌 연어,해산물
Cooked white rice,익힌 백미,곡물
Corn,옥수수,곡물
Cottage cheese,코티지 치즈,유제품
"Cottage cheese (low-fat)",코티지 치즈 (저지방),유제품
Cucumber,오이,채소
Duck,오리고기,고기
"Easily digestible carbs (rice)",소화 좋은 탄수화물 (쌀),곡물
Egg,달걀,유제품
"Egg (cooked)",달걀 (익힌),유제품
"Egg (soft)",달걀 (반숙),유제품
"Egg (whole)",달걀 (전체),유제품
Egg White,달걀 흰자,유제품
Egg Yolk,달걀 노른자,유제품
Egg white,달걀 흰자,유제품
Egg whites,달걀 흰자,유제품
Egg yolk,달걀 노른자,유제품
Eggs,달걀,유제품
Fish fillet,생선 필렛,해산물
Flaxseed,아마씨,견과류/씨앗
Flaxseed oil,아마씨유,부재료
Green beans,껍질콩,채소
Green-lipped mussel,초록입홍합,해산물
Hemp seeds,햄프씨드,견과류/씨앗
Herring,청어,해산물
Kale,케일,채소
Kefir,케피어,유제품
Kelp/Seaweed,다시마/해조류,해산물
Kidney Beans,강낭콩,곡물
Kidney beans,강낭콩,곡물
Lamb,양고기,고기
Lean Beef,저지방 소고기,고기
Lean beef,저지방 소고기,고기
Lean meat,저지방 고기,고기
Lentils,렌틸콩,곡물
Mackerel,고등어,해산물
Mashed Sweet Potato,으깬 고구마,곡물
Mushroom,버섯,채소
Mushrooms,버섯,채소
Oat,귀리,곡물
Oat Bran,귀리 겨,곡물
Oats,귀리,곡물
Orange pepper,주황 파프리카,채소
Oysters,굴,해산물
Parsley,파슬리,채소
"Peanuts (plain)",땅콩 (무가공),견과류/씨앗
Peas,완두콩,채소
Plain yogurt,플레인 요거트,유제품
Pork,돼지고기,고기
Pork cartilage,돼지 연골,고기
Pork ribs,돼지 갈비,고기
Pumpkin,호박,채소
Pumpkin Seeds,호박씨,견과류/씨앗
Pumpkin seeds,호박씨,견과류/씨앗
Pureed Chicken,닭고기 퓌레,고기
Quinoa,퀴노아,곡물
Rice,쌀,곡물
"Rice (blended)",쌀 (갈은),곡물
"Rice (moist)",쌀 (촉촉한),곡물
"Rice (soft)",쌀 (부드러운),곡물
Rice Porridge,쌀죽,곡물
Safflower oil,홍화유,부재료
Salmon,연어,해산물
"Salmon (moderate)",연어 (적당량),해산물
"Salmon (small amounts)",연어 (소량),해산물
Sardine,정어리,해산물
"Sardine (small)",정어리 (소형),해산물
Sardines,정어리,해산물
Sardines with bones,뼈째 정어리,해산물
Seaweed,해조류,해산물
"Seaweed (small amount)",해조류 (소량),해산물
"Seaweed (small amounts)",해조류 (소량),해산물
Sesame seeds,참깨,견과류/씨앗
Shark cartilage,상어 연골,고기
Soft Cooked Chicken,부드럽게 익힌 닭고기,고기
Soft Salmon,부드러운 연어,해산물
Spinach,시금치,채소
"Spinach (cooked)",시금치 (익힌),채소
Sunflower Seeds,해바라기씨,견과류/씨앗
Sunflower oil,해바라기유,부재료
Sunflower seeds,해바라기씨,견과류/씨앗
"Sunflower seeds (small)",해바라기씨 (소량),견과류/씨앗
Sweet Potato,고구마,곡물
"Sweet Potato (mashed)",고구마 (으깬),곡물
"Sweet Potato (moderate)",고구마 (적당량),곡물
Sweet potato,고구마,곡물
Tuna,참치,해산물
Turkey,칠면조,고기
Turmeric,강황,부재료
"Turmeric (small amounts with black pepper)",강황 (소량 + 후추),부재료
Venison,사슴고기,고기
Watermelon,수박,과일
Wheat germ,밀배아,곡물
White Fish,흰살생선,해산물
White fish,흰살생선,해산물
White rice,백미,곡물
Yogurt,요거트,유제품
Zucchini,애호박,채소
